[2025-11-27 18:42:01] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.22.1.145 | OK.
[2025-11-27 18:46:32] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.71.215 | OK.
[2025-11-27 18:47:56] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.71.216 | OK.
[2025-11-27 18:48:02] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 18:48:09] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 18:48:11] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 18:48:45] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 18:48:49] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 18:49:03] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 18:49:05] Evento: click | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 18:49:06] Evento: click | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 19:00:46] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.245.49 | OK.
[2025-11-27 19:01:51] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 19:04:46] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.110 | OK.
[2025-11-27 19:07:15] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 19:08:51] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 19:13:41] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.7.47 | OK.
[2025-11-27 19:13:53] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.54.254 | OK.
[2025-11-27 19:14:01] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 19:21:18] Evento: impresion | ID: 3 | Ciudad: bucaramanga | IP: 172.71.22.29 | OK.
[2025-11-27 19:21:24] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 19:21:40] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.68.12.84 | OK.
[2025-11-27 19:24:04] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 19:26:13] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 104.23.248.111 | OK.
[2025-11-27 19:32:26] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.83.120 | OK.
[2025-11-27 19:32:44] Evento: impresion | ID: 3 | Ciudad: santa-marta | IP: 104.23.248.111 | OK.
[2025-11-27 19:40:04] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.69.90.148 | OK.
[2025-11-27 19:45:11] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 19:45:25] Evento: impresion | ID: 3 | Ciudad: bogota | IP: 172.70.55.2 | OK.
[2025-11-27 19:45:33] Evento: impresion | ID: 3 | Ciudad: medellin | IP: 172.70.55.2 | OK.
[2025-11-27 19:50:39] Evento: impresion | ID: 3 | Ciudad: santa-marta | IP: 172.70.55.2 | OK.
